distrito,capacidade,qtd_unidades,populacao,cobertura,pressao
VILA SONIA,6,6,121663.0,4.931655474548548e-05,20277.166666666668
VILA MEDEIROS,7,7,123456.0,5.670036288232245e-05,17636.571428571428
VILA ANDRADE,10,10,163508.0,6.115908701714901e-05,16350.8
TREMEMBE,14,14,223553.0,6.262497036496938e-05,15968.07142857143
CAMPO BELO,4,4,63744.0,6.275100401606425e-05,15936.0
MANDAQUI,7,7,109228.0,6.40861317610869e-05,15604.0
JARDIM HELENA,9,9,135605.0,6.636923417278124e-05,15067.222222222223
IGUATEMI,10,10,149739.0,6.678286885848043e-05,14973.9
ARICANDUVA,6,6,85868.0,6.987469138677971e-05,14311.333333333334
CURSINO,8,8,113728.0,7.034327518289252e-05,14216.0
ANHANGUERA,6,6,84719.0,7.082236570308903e-05,14119.833333333334
JAGUARE,4,4,55192.0,7.247427163357009e-05,13798.0
LAJEADO,14,14,174539.0,8.021129948034537e-05,12467.07142857143
SOCORRO,3,3,36033.0,8.32570144034635e-05,12011.0
RAPOSO TAVARES,9,9,107426.0,8.377860108353658e-05,11936.222222222223
SAO LUCAS,12,12,142948.0,8.394660995606794e-05,11912.333333333334
CANGAIBA,12,12,138107.0,8.688915116540074e-05,11508.916666666666
PERDIZES,10,10,114788.0,8.71171202564728e-05,11478.8
GRAJAU,34,30,390096.0,8.7158032894467e-05,13003.2
SAO RAFAEL,14,14,159683.0,8.767370352510913e-05,11405.92857142857
LIMAO,7,7,79657.0,8.787677165848576e-05,11379.57142857143
PINHEIROS,6,6,65909.0,9.103460832359768e-05,10984.833333333334
VILA FORMOSA,9,9,94100.0,9.564293304994687e-05,10455.555555555555
CAPAO REDONDO,30,30,296378.0,0.00010122208800923145,9879.266666666666
JOSE BONIFACIO,14,14,136560.0,0.00010251903925014645,9754.285714285714
BRASILANDIA,29,29,281977.0,0.00010284526752181916,9723.344827586207
CAMPO GRANDE,11,7,106722.0,0.00010307153164296021,15246.0
CIDADE ADEMAR,30,30,285677.0,0.00010501370428840963,9522.566666666668
JARDIM ANGELA,37,33,338265.0,0.00010938169778132529,10250.454545454546
VILA LEOPOLDINA,5,5,45092.0,0.00011088441408675596,9018.4
CIDADE LIDER,15,15,135247.0,0.00011090819020015232,9016.466666666667
JARAGUA,24,20,212819.0,0.00011277188596882797,10640.95
ITAIM BIBI,11,11,97229.0,0.00011313497001923294,8839.0
REPUBLICA,7,7,61832.0,0.00011320998835554406,8833.142857142857
SACOMA,30,26,263621.0,0.00011379973522594938,10139.26923076923
CAMPO LIMPO,27,27,228893.0,0.00011795904636664293,8477.518518518518
PEDREIRA,19,19,160976.0,0.00011803001689692874,8472.421052631578
ITAIM PAULISTA,28,24,234912.0,0.00011919357035826182,9788.0
AGUA RASA,10,10,82564.0,0.00012111816287970544,8256.4
ALTO DE PINHEIROS,5,5,40962.0,0.00012206435232654656,8192.4
VILA JACUI,18,18,145836.0,0.00012342631449024932,8102.0
BOM RETIRO,5,5,38877.0,0.0001286107467139954,7775.4
CIDADE TIRADENTES,31,27,235630.0,0.00013156219496668505,8727.037037037036
SAUDE,18,14,134147.0,0.00013418115947430804,9581.92857142857
RIO PEQUENO,17,13,123711.0,0.00013741704456353922,9516.23076923077
ARTUR ALVIM,14,14,100462.0,0.00013935617447393043,7175.857142857143
CASA VERDE,12,12,86004.0,0.00013952839402818474,7167.0
VILA CURUCA,22,22,153500.0,0.00014332247557003258,6977.272727272727
PERUS,13,13,89310.0,0.0001455604075691412,6870.0
ITAQUERA,31,27,211555.0,0.00014653399825104583,7835.37037037037
SAPOPEMBA,43,35,289759.0,0.0001483991869105015,8278.828571428572
BRAS,5,5,33045.0,0.00015130882130428205,6609.0
CARRAO,13,9,84925.0,0.00015307624374448042,9436.111111111111
PONTE RASA,14,14,89774.0,0.000155947156192216,6412.428571428572
TATUAPE,15,11,96045.0,0.00015617679212868969,8731.363636363636
CIDADE DUTRA,32,28,203131.0,0.00015753380823212607,7254.678571428572
PENHA,21,17,129100.0,0.00016266460108443068,7594.117647058823
CACHOEIRINHA,24,16,146387.0,0.000163948984540977,9149.1875
JAGUARA,4,4,23950.0,0.00016701461377870565,5987.5
JARDIM SAO LUIS,50,42,293660.0,0.00017026493223455696,6991.9047619047615
TUCURUVI,17,13,96358.0,0.0001764254135619253,7412.153846153846
VILA MATILDE,19,15,105575.0,0.00017996684821217144,7038.333333333333
JABAQUARA,42,34,229346.0,0.00018312942017737393,6745.470588235294
SAO MATEUS,29,25,155387.0,0.00018663079923030885,6215.48
SANTA CECILIA,17,17,88518.0,0.00019205133419191578,5206.941176470588
FREGUESIA DO O,28,24,140083.0,0.0001998814988256962,5836.791666666667
VILA PRUDENTE,21,17,104686.0,0.00020059988919244215,6158.0
PARELHEIROS,31,31,153598.0,0.00020182554460344536,4954.774193548387
PIRITUBA,36,28,171232.0,0.00021024107643431134,6115.428571428572
VILA MARIA,24,16,114025.0,0.0002104801578601184,7126.5625
ERMELINO MATARAZZO,26,22,118715.0,0.00021901191930253128,5396.136363636364
PARQUE DO CARMO,16,12,71749.0,0.00022299962368813503,5979.083333333333
MOEMA,20,8,89382.0,0.00022375869861940883,11172.75
MORUMBI,12,4,52921.0,0.00022675308478675761,13230.25
SAO DOMINGOS,20,12,86403.0,0.00023147344420911312,7200.25
LAPA,16,16,67170.0,0.0002382015780854548,4198.125
VILA GUILHERME,14,14,57079.0,0.0002452740937998213,4077.0714285714284
GUAIANASES,27,23,109730.0,0.000246058507245056,4770.869565217391
SAO MIGUEL,25,21,89173.0,0.0002803539187870768,4246.333333333333
LIBERDADE,21,5,72797.0,0.000288473426102724,14559.4
JACANA,28,16,96054.0,0.0002915026963999417,6003.375
CAMBUCI,12,8,40667.0,0.0002950795485282907,5083.375
CONSOLACAO,18,6,57405.0,0.0003135615364515286,9567.5
SANTANA,38,26,113253.0,0.0003355319505885054,4355.884615384615
JARDIM PAULISTA,31,11,90719.0,0.0003417145250719254,8247.181818181818
BELEM,17,9,49213.0,0.0003454371812326011,5468.111111111111
MARSILAC,3,3,8426.0,0.00035604082601471633,2808.6666666666665
SANTO AMARO,27,19,74447.0,0.0003626741171571722,3918.2631578947367
IPIRANGA,43,27,112222.0,0.0003831690755823279,4156.37037037037
BELA VISTA,29,17,73235.0,0.00039598552604628933,4307.941176470588
MOOCA,34,22,80330.0,0.0004232540769326528,3651.3636363636365
BARRA FUNDA,7,7,16115.0,0.0004343779087806392,2302.1428571428573
BUTANTA,25,17,53836.0,0.0004643732818188573,3166.823529411765
VILA MARIANA,62,26,132226.0,0.00046889416604903723,5085.615384615385
SE,14,14,26693.0,0.0005244820739519724,1906.642857142857
PARI,11,7,19069.0,0.000576852483087734,2724.1428571428573
